ID,Literature_output,Test_output,
JVASP-1002,40.49983717,40.53724062,0.03740345
JVASP-10036,127.7153638,127.5829383,0.1324255
JVASP-10037,150.4284761,150.5490619,0.1205858
JVASP-1008,72.42439362,72.51103911,0.08664549
JVASP-1023,103.375124,103.2312124,0.1439116
JVASP-1029,51.86231598,51.77941008,0.0829059
JVASP-103127,132.1486176,132.2149989,0.0663813
JVASP-104,70.06067909,70.24760279,0.1869237
JVASP-104764,86.9353121,86.95094565,0.01563355
JVASP-105410,44.06917771,44.15846453,0.08928682
JVASP-10591,241.6149879,242.6741055,1.0591176
JVASP-106363,190.7701875,191.2428977,0.4727102
JVASP-106686,132.088755,132.344845,0.25609
JVASP-1067,151.5792591,152.3185648,0.7393057
JVASP-107,84.13657925,84.30148948,0.16491023
JVASP-10703,271.0988057,272.5566072,1.4578015
JVASP-108770,132.7863783,132.6728809,0.1134974
JVASP-110,66.76405838,66.93172111,0.16766273
JVASP-110231,55.28992058,55.33581131,0.04589073
JVASP-1103,70.80758804,71.10782438,0.30023634
JVASP-1109,205.1198807,204.9754686,0.1444121
JVASP-111005,136.3424058,136.2956752,0.0467306
JVASP-1112,54.34167085,54.66355818,0.32188733
JVASP-1115,60.80817744,60.81633497,0.00815753
JVASP-113,146.875089,146.835387,0.039702
JVASP-1174,47.07347445,47.17265389,0.09917944
JVASP-1177,59.93420925,60.13937392,0.20516467
JVASP-1180,64.49003688,64.56539986,0.07536298
JVASP-1183,52.79858456,52.9260684,0.12748384
JVASP-1186,59.09191931,59.24590738,0.15398807
JVASP-1189,72.75745884,72.96036479,0.20290595
JVASP-1192,60.19474168,60.08084184,0.11389984
JVASP-1195,49.28224285,49.44223452,0.15999167
JVASP-1198,58.72898869,58.9974051,0.26841641
JVASP-1201,39.32878506,39.46066767,0.13188261
JVASP-1216,78.76711842,78.81361088,0.04649246
JVASP-1222,199.238548,200.3856167,1.1470687
JVASP-1240,111.0214508,110.9624897,0.0589611
JVASP-131,72.16470168,72.1138416,0.05086008
JVASP-1312,23.51649583,23.41398591,0.10250992
JVASP-1327,41.91906105,41.94555333,0.02649228
JVASP-133719,27.76079139,27.75911265,0.00167874
JVASP-1372,46.91258798,46.92952607,0.01693809
JVASP-1408,60.32613284,60.2000403,0.12609254
JVASP-14616,20.83371237,21.29499285,0.46128048
JVASP-14968,85.68660459,85.55087675,0.13572784
JVASP-14970,40.47341388,40.5785556,0.10514172
JVASP-149871,177.0950443,177.5911618,0.4961175
JVASP-149906,260.4680633,261.2229226,0.7548593
JVASP-149916,262.1742549,260.9556,1.2186549
JVASP-18983,264.3031056,264.8121664,0.5090608
JVASP-1915,127.1189017,127.8651282,0.7462265
JVASP-19780,41.15900608,41.28774106,0.12873498
JVASP-20092,27.30388892,27.33675581,0.03286689
JVASP-21211,95.89740342,95.96804159,0.07063817
JVASP-22694,37.57633331,37.39151113,0.18482218
JVASP-23,72.20582623,72.53117043,0.3253442
JVASP-2376,154.889453,154.2711997,0.6182533
JVASP-25,180.5270441,182.0486045,1.5215604
JVASP-29539,299.9203344,300.7732493,0.8529149
JVASP-30,46.63097126,46.61263176,0.0183395
JVASP-32,87.27096678,87.40777842,0.13681164
JVASP-34249,32.45058465,32.48618703,0.03560238
JVASP-34674,169.8376382,170.198328,0.3606898
JVASP-3510,407.3412553,407.3680961,0.0268408
JVASP-36018,24.20820958,24.24997506,0.04176548
JVASP-36408,32.8764276,32.95069552,0.07426792
JVASP-36873,36.84383246,36.89799801,0.05416555
JVASP-39,42.49859656,42.36788917,0.13070739
JVASP-41,116.7883273,117.1593718,0.3710445
JVASP-4282,695.9051328,700.718141,4.8130082
JVASP-43367,280.4748158,280.2385136,0.2363022
JVASP-5224,258.0974609,258.9826016,0.8851407
JVASP-54,124.1414024,124.1922552,0.0508528
JVASP-58349,116.8086384,117.1781606,0.3695222
JVASP-62940,38.06772239,38.1705531,0.10283071
JVASP-7836,11.90086522,11.93639891,0.03553369
JVASP-79522,44.41874842,44.26373857,0.15500985
JVASP-8003,52.60810981,52.56607687,0.04203294
JVASP-802,45.03456215,45.08646121,0.05189906
JVASP-8082,61.14156393,61.31034692,0.16878299
JVASP-8118,42.09248474,42.07490218,0.01758256
JVASP-813,18.01280771,18.09593641,0.0831287
JVASP-8158,21.02222088,20.98751023,0.03471065
JVASP-816,16.82260994,16.72333071,0.09927923
JVASP-8184,83.62518998,83.76939642,0.14420644
JVASP-825,18.27029086,18.21551396,0.0547769
JVASP-85416,252.8630742,252.4984686,0.3646056
JVASP-85478,177.9577621,178.4338774,0.4761153
JVASP-8554,202.2378524,202.8157479,0.5778955
JVASP-8559,66.21581118,66.72431834,0.50850716
JVASP-861,11.80762562,11.79594241,0.01168321
JVASP-867,11.92056159,11.92032352,0.00023807
JVASP-890,47.85833304,47.97542335,0.11709031
JVASP-90668,162.6330239,162.8661515,0.2331276
JVASP-91,11.39514047,11.46747807,0.0723376
JVASP-9117,158.6066171,158.6482214,0.0416043
JVASP-9147,140.4220879,140.381238,0.0408499
JVASP-9166,131.1113082,131.0633429,0.0479653
JVASP-943,10.82928976,10.81381105,0.01547871
JVASP-96,47.0401048,47.13861813,0.09851333
JVASP-963,15.53814689,15.5160302,0.02211669
JVASP-972,15.72282729,15.70344268,0.01938461
JVASP-99732,291.5450324,292.9081876,1.3631552
,,,0.290223959
