feature,mean_abs_shap
OverallQual,12370.66289104781
YearBuilt,8476.233002824327
HalfBath,7354.4965783555535
TotRmsAbvGrd,7250.973777565874
GarageCars,6296.114096015919
OverallCond,6244.661844757651
1stFlrSF,6166.3099830615165
BsmtFinSF1,5640.439059402696
YearRemodAdd,4765.565574827928
FullBath,4695.463695197446
Fireplaces,4085.6839697840637
TotalBsmtSF,3810.2939496445247
GrLivArea,3720.2777552121174
MSSubClass,3642.3604368043343
KitchenAbvGr,3214.0063662777266
2ndFlrSF,2887.19011386053
BsmtFullBath,2695.7804895449385
GarageArea,2518.624805883348
GarageYrBlt,2171.715578672062
LotArea,1987.9832975815957
ScreenPorch,1906.2704900430022
BedroomAbvGr,1886.8930440482513
BsmtUnfSF,1810.5786420003355
MasVnrArea,1622.4380192196309
EnclosedPorch,1393.4169097569757
LowQualFinSF,1164.3559901407516
BsmtFinSF2,1021.2394799748995
WoodDeckSF,932.4913082707048
BsmtHalfBath,886.8136570094098
MoSold,868.5913163953272
YrSold,840.3582003796947
MiscVal,817.1386474471718
OpenPorchSF,763.3081595780894
LotFrontage,762.4025268494726
3SsnPorch,613.6032086377128
PoolArea,463.59130785698756
