feature,mean_abs_shap
OverallQual,28297.261913138052
GrLivArea,13953.026372393471
TotalBsmtSF,5486.918293422529
BsmtFinSF1,4325.746304569388
YearRemodAdd,3017.87862761715
YearBuilt,2601.099338062893
LotArea,2402.7195154213227
GarageArea,2341.8422963880757
GarageCars,2288.7922715205177
1stFlrSF,2138.067396027945
2ndFlrSF,1183.2959684152218
GarageYrBlt,1161.6153689799448
Fireplaces,1151.7335937842445
LotFrontage,1034.2126817495657
OverallCond,981.3042857729954
OpenPorchSF,749.397235317189
MasVnrArea,747.1930243943539
FullBath,738.3085176647113
MSSubClass,577.3475534510216
WoodDeckSF,574.3348875898865
BsmtUnfSF,546.76745806697
TotRmsAbvGrd,542.1320576889005
BsmtFullBath,417.8908770980115
HalfBath,306.1578007020546
ScreenPorch,285.4309398486067
KitchenAbvGr,226.07472022178635
MoSold,211.85195311072968
YrSold,158.23939997413925
BedroomAbvGr,144.59493709964053
EnclosedPorch,137.3068445270721
3SsnPorch,73.49501827951757
BsmtFinSF2,60.00459794520578
MiscVal,42.73884514840208
BsmtHalfBath,35.945461674006125
LowQualFinSF,32.81534066943784
PoolArea,5.406578162100418
