feature,mean_abs_shap
OverallQual,23440.745635331034
GrLivArea,11928.592314359781
TotalBsmtSF,6168.160174526632
YearBuilt,6135.914793072259
LotArea,4578.515299917115
YearRemodAdd,4529.546120256694
BsmtFinSF1,4113.462101134105
OverallCond,3459.658937971078
1stFlrSF,3405.4996113609295
Fireplaces,3050.775512792143
GarageCars,2239.880310488906
2ndFlrSF,1955.0359121574752
LotFrontage,1942.2900494221508
GarageArea,1754.6420246475354
BsmtFullBath,1635.7223569332743
GarageYrBlt,1617.0738108109233
OpenPorchSF,1349.9333363308665
HalfBath,1323.7879832981048
TotRmsAbvGrd,1073.582252973008
BsmtUnfSF,987.030059942654
WoodDeckSF,862.4912521334057
ScreenPorch,829.8648427348976
MSSubClass,716.6618901736667
FullBath,678.2187700026514
MasVnrArea,652.6632364329147
YrSold,449.5867937150277
MoSold,440.2739758152663
BedroomAbvGr,343.4711207806507
EnclosedPorch,246.29437042200604
BsmtHalfBath,209.51904308437068
3SsnPorch,151.9446275057462
MiscVal,145.83974592461888
KitchenAbvGr,131.1683689144802
BsmtFinSF2,130.38538322401968
PoolArea,1.0090331674514832
LowQualFinSF,0.0
