jid,ID,Test_output,dft_volume
JVASP-1002,JVASP-1002,40.53724062,41.44950316724692
JVASP-10036,JVASP-10036,127.5829383,127.54618611829845
JVASP-10037,JVASP-10037,150.5490619,150.0586393965065
JVASP-1008,JVASP-1008,72.51103911,72.98507996325951
JVASP-1023,JVASP-1023,103.2312124,104.2940748413241
JVASP-1029,JVASP-1029,51.77941008,50.4922459680982
JVASP-103127,JVASP-103127,132.2149989,131.72894521076563
JVASP-104,JVASP-104,70.24760279,69.83574840297592
JVASP-104764,JVASP-104764,86.95094565,86.80813404381561
JVASP-105410,JVASP-105410,44.15846453,43.72999792403493
JVASP-10591,JVASP-10591,242.6741055,240.7400825718359
JVASP-106363,JVASP-106363,191.2428977,190.52413343177375
JVASP-106686,JVASP-106686,132.344845,131.07605761085264
JVASP-1067,JVASP-1067,152.3185648,148.20631801554174
JVASP-107,JVASP-107,84.30148948,84.4733174477137
JVASP-10703,JVASP-10703,272.5566072,268.8800721127567
JVASP-108770,JVASP-108770,132.6728809,131.88527684151302
JVASP-110,JVASP-110,66.93172111,66.2218432581129
JVASP-110231,JVASP-110231,55.33581131,55.248894830003685
JVASP-1103,JVASP-1103,71.10782438,70.05193978497194
JVASP-1109,JVASP-1109,204.9754686,202.50331858154576
JVASP-111005,JVASP-111005,136.2956752,136.34252948975464
JVASP-1112,JVASP-1112,54.66355818,53.59166278292762
JVASP-1115,JVASP-1115,60.81633497,59.336453450933455
JVASP-113,JVASP-113,146.835387,143.51100407929832
JVASP-1174,JVASP-1174,47.17265389,47.07339528783792
JVASP-1177,JVASP-1177,60.13937392,59.4396027740533
JVASP-1180,JVASP-1180,64.56539986,63.90020520310598
JVASP-1183,JVASP-1183,52.9260684,52.798568208252725
JVASP-1186,JVASP-1186,59.24590738,58.70559993105507
JVASP-1189,JVASP-1189,72.96036479,72.19408525706166
JVASP-1192,JVASP-1192,60.08084184,58.66107445580299
JVASP-1195,JVASP-1195,49.44223452,48.96307288317627
JVASP-1198,JVASP-1198,58.9974051,58.544207385415206
JVASP-1201,JVASP-1201,39.46066767,39.32872369011957
JVASP-1216,JVASP-1216,78.81361088,79.3661832661201
JVASP-1222,JVASP-1222,200.3856167,199.23882904270607
JVASP-1240,JVASP-1240,110.9624897,108.93092508279413
JVASP-131,JVASP-131,72.1138416,70.36946097827102
JVASP-1312,JVASP-1312,23.41398591,23.60863858280481
JVASP-1327,JVASP-1327,41.94555333,41.919081824148954
JVASP-133719,JVASP-133719,27.75911265,28.081830623950857
JVASP-1372,JVASP-1372,46.92952607,46.912575397805874
JVASP-1408,JVASP-1408,60.2000403,60.326023019685195
JVASP-14616,JVASP-14616,21.29499285,19.742999419609777
JVASP-14968,JVASP-14968,85.55087675,86.82023052863047
JVASP-14970,JVASP-14970,40.5785556,41.53000219848839
JVASP-149871,JVASP-149871,177.5911618,175.49463259175684
JVASP-149906,JVASP-149906,261.2229226,259.3396115716295
JVASP-149916,JVASP-149916,260.9556,263.94497895983966
JVASP-18983,JVASP-18983,264.8121664,262.87516634231906
JVASP-1915,JVASP-1915,127.8651282,121.03661599908206
JVASP-19780,JVASP-19780,41.28774106,41.73786913019021
JVASP-20092,JVASP-20092,27.33675581,26.897355287896783
JVASP-21211,JVASP-21211,95.96804159,79.7603656525974
JVASP-22694,JVASP-22694,37.39151113,35.75575194829161
JVASP-23,JVASP-23,72.53117043,71.32704804802184
JVASP-2376,JVASP-2376,154.2711997,155.72114597877368
JVASP-25,JVASP-25,182.0486045,178.41002886536117
JVASP-29539,JVASP-29539,300.7732493,257.0185921132536
JVASP-30,JVASP-30,46.61263176,46.80098795550242
JVASP-32,JVASP-32,87.40777842,87.23873326976242
JVASP-34249,JVASP-34249,32.48618703,32.45059138763467
JVASP-34674,JVASP-34674,170.198328,164.34750480091049
JVASP-3510,JVASP-3510,407.3680961,346.8707522669254
JVASP-36018,JVASP-36018,24.24997506,24.480550226553387
JVASP-36408,JVASP-36408,32.95069552,32.876564054202014
JVASP-36873,JVASP-36873,36.89799801,36.876386737277905
JVASP-39,JVASP-39,42.36788917,42.60335573349161
JVASP-41,JVASP-41,117.1593718,115.03863278957989
JVASP-4282,JVASP-4282,700.718141,636.7316814415542
JVASP-43367,JVASP-43367,280.2385136,278.0866338013414
JVASP-5224,JVASP-5224,258.9826016,246.42284660191459
JVASP-54,JVASP-54,124.1922552,110.08375827060286
JVASP-58349,JVASP-58349,117.1781606,115.06979173238526
JVASP-62940,JVASP-62940,38.1705531,35.94627046738973
JVASP-7836,JVASP-7836,11.93639891,11.900868201825759
JVASP-79522,JVASP-79522,44.26373857,44.41887441770959
JVASP-8003,JVASP-8003,52.56607687,51.50092600372137
JVASP-802,JVASP-802,45.08646121,44.0827783765933
JVASP-8082,JVASP-8082,61.31034692,60.7746253471189
JVASP-8118,JVASP-8118,42.07490218,42.25488378987602
JVASP-813,JVASP-813,18.09593641,17.53475480641268
JVASP-8158,JVASP-8158,20.98751023,21.11950391419642
JVASP-816,JVASP-816,16.72333071,16.82264004523941
JVASP-8184,JVASP-8184,83.76939642,83.1386705208825
JVASP-825,JVASP-825,18.21551396,17.90566664024155
JVASP-85416,JVASP-85416,252.4984686,247.16426962819335
JVASP-85478,JVASP-85478,178.4338774,180.8941174265708
JVASP-8554,JVASP-8554,202.8157479,201.7570440165917
JVASP-8559,JVASP-8559,66.72431834,63.309684335839826
JVASP-861,JVASP-861,11.79594241,11.456763786610122
JVASP-867,JVASP-867,11.92032352,11.92060064093383
JVASP-890,JVASP-890,47.97542335,47.73224257398682
JVASP-90668,JVASP-90668,162.8661515,162.57284738286762
JVASP-91,JVASP-91,11.46747807,11.395114534025401
JVASP-9117,JVASP-9117,158.6482214,159.3645742837504
JVASP-9147,JVASP-9147,140.381238,138.84497216018045
JVASP-9166,JVASP-9166,131.0633429,130.45524128797794
JVASP-943,JVASP-943,10.81381105,10.829267002845178
JVASP-96,JVASP-96,47.13861813,46.70989757342705
JVASP-963,JVASP-963,15.5160302,15.265880537374839
JVASP-972,JVASP-972,15.70344268,15.722870756316377
JVASP-99732,JVASP-99732,292.9081876,288.8135149753095
